Admin1,Admin1Pcode,Admin2,Admin2Pcode,Admin3,Admin3Pcode,Admin3PcodeReview,CasSuspect,DecesSuspect,CasConfirmes,DecesConfirmes,Contacts
Tshuapa,CD45,Bokungu,CD4506,Bokungu,CD4506ZS01,CD450601,0,0,0,0,
Tshuapa,CD45,Bokungu,CD4506,Bosanga,CD4506ZS02,CD450602,0,0,0,0,
Tshuapa,CD45,Bokungu,CD4506,Yalifafo,CD4506ZS03,CD450603,0,0,0,0,
Tshuapa,CD45,Monkoto,CD4507,Monkoto,CD4507ZS01,CD450701,0,0,0,0,
Tshopo,CD51,Kisangani,CD5101,Kabondo,CD5101ZS01,CD510101,0,0,0,0,
Tshopo,CD51,Kisangani,CD5101,Lubunga,CD5101ZS02,CD510102,0,0,0,0,
Tshopo,CD51,Kisangani,CD5101,Makiso-Kisangani,CD5101ZS03,CD510103,0,0,0,0,
Tshopo,CD51,Kisangani,CD5101,Mangobo,CD5101ZS04,CD510104,0,0,0,0,
Tshopo,CD51,Kisangani,CD5101,Tshopo,CD5101ZS05,CD510105,0,0,0,0,
Tshopo,CD51,Ubundu,CD5102,Lowa,CD5102ZS01,CD510201,0,0,0,0,
Tshopo,CD51,Ubundu,CD5102,Ubundu,CD5102ZS02,CD510202,0,0,0,0,
Tshopo,CD51,Ubundu,CD5102,Wanierukula,CD5102ZS03,CD510203,0,0,0,0,
Tshopo,CD51,Opala,CD5103,Opala,CD5103ZS01,CD510301,0,0,0,0,
Tshopo,CD51,Opala,CD5103,Yaleko,CD5103ZS02,CD510302,0,0,0,0,
Tshopo,CD51,Isangi,CD5105,Isangi,CD5105ZS01,CD510501,0,0,0,0,
Tshopo,CD51,Isangi,CD5105,Yabaondo,CD5105ZS02,CD510502,0,0,0,0,
Tshopo,CD51,Isangi,CD5105,Yahisuli,CD5105ZS03,CD510503,0,0,0,0,
Tshopo,CD51,Isangi,CD5105,Yakusu,CD5105ZS04,CD510504,0,0,0,0,
Tshopo,CD51,Yahuma,CD5107,Yahuma,CD5107ZS01,CD510701,0,0,0,0,
Tshopo,CD51,Basoko,CD5109,Basali,CD5109ZS01,CD510901,0,0,0,0,
Tshopo,CD51,Basoko,CD5109,Basoko,CD5109ZS02,CD510902,0,0,0,0,
Tshopo,CD51,Basoko,CD5109,Yalimbongo,CD5109ZS03,CD510903,0,0,0,0,
Tshopo,CD51,Banalia,CD5110,Banalia,CD5110ZS01,CD511001,0,0,0,0,
Tshopo,CD51,Banalia,CD5110,Bengamisa,CD5110ZS02,CD511002,0,0,0,0,
Tshopo,CD51,Bafwasende,CD5111,Bafwagbogbo,CD5111ZS01,CD511101,0,0,0,0,
Tshopo,CD51,Bafwasende,CD5111,Bafwasende,CD5111ZS02,CD511102,0,0,0,0,
Tshopo,CD51,Bafwasende,CD5111,Opienge,CD5111ZS03,CD511103,0,0,0,0,
Bas-Uele,CD52,Buta,CD5202,Buta,CD5202ZS01,CD520201,0,0,0,0,
Bas-Uele,CD52,Buta,CD5202,Titule,CD5202ZS02,CD520202,0,0,0,0,
